,Title 1,Meta Description 1,H1-1
3536,"Corona Extra - ""Drone Surf """,Digital Drone Surf  for Corona Extra by Wieden + Kennedy Amsterdam,"Corona Extra - ""Drone Surf """
3537,"Corona Extra - ""Sand Shadow""",Digital Sand Shadow for Corona Extra by Wieden + Kennedy Amsterdam,"Corona Extra - ""Sand Shadow"""
3538,"Snickers - ""Sports Illustrated""",Print Sports Illustrated for Snickers by BBDO New York,"Snickers - ""Sports Illustrated"""
3539,"McDonald's - ""Good Time""",Television Good Time for McDonald's by Leo Burnett London,"McDonald's - ""Good Time"""
3540,"Samsung - ""Blind Cap""","Digital Blind Cap for Samsung by Cheil España - Blind Cap, is the first swimming cap provided with a vibration system and Bluetooth technology that, synchr...","Samsung - ""Blind Cap"""
3541,"League Against Cruel Sports - ""The Silent Enemy""",Television The Silent Enemy for League Against Cruel Sports,"League Against Cruel Sports - ""The Silent Enemy"""
3542,"Google - ""Year In Search 2015""",Digital Year In Search 2015 for Google by 72andSunny,"Google - ""Year In Search 2015"""
3543,"Lamisil - ""Feet on Fire""",Web Film Feet on Fire for Lamisil by Saatchi & Saatchi Geneva - The film reveals the story of three different characters underperforming due to the discomf...,"Lamisil - ""Feet on Fire"""
3544,"General Mills - ""Wheaties Redesign""","Packaging, Branding & Design Wheaties Redesign for General Mills by Jones Knowles Ritchie (JKR)","General Mills - ""Wheaties Redesign"""
3545,"StubHub - ""Stubhub College Playoffs""",Social Media Stubhub College Playoffs for StubHub by Likeable Media - Sports and music fans are just that–fans. They want new ways to root for teams and ar...,"StubHub - ""Stubhub College Playoffs"""
3546,"StubHub - ""Stubhub Bracket GIF""","Social Media Stubhub Bracket GIF for StubHub by Likeable Media - Sports, Social Media, Stubhub, GIF, Video","StubHub - ""Stubhub Bracket GIF"""
3547,"StubHub - ""Stubhub Festival ""","Social Media Stubhub Festival  for StubHub by Likeable Media - Sports, Social Media, Stubhub, GIF, Video","StubHub - ""Stubhub Festival """
3548,"StubHub - ""Stubhub Timeline""","Social Media Stubhub Timeline for StubHub by Likeable Media - Sports, Social Media, Stubhub, GIF, Video","StubHub - ""Stubhub Timeline"""
3549,"StubHub - ""Stubhub Kobe""","Social Media Stubhub Kobe for StubHub by Likeable Media - Sports, Social Media, Stubhub, GIF, Video","StubHub - ""Stubhub Kobe"""
3550,"Molson Canadian - ""Hockey Heaven""",Web Film Hockey Heaven for Molson Canadian by Rethink Communications Inc.,"Molson Canadian - ""Hockey Heaven"""
3551,"Intel - ""All Work All Play""",Digital All Work All Play for Intel by Venables Bell & Partners - Meet director Patrick Creadon. The mastermind behind the new documentary All Work All Pla...,"Intel - ""All Work All Play"""
3552,"Santa Casa de Misericórdia de Porto Alegre - ""Donate your Talent""",Web Film Donate your Talent for Santa Casa de Misericórdia de Porto Alegre by J. Walter Thompson Brazil,"Santa Casa de Misericórdia de Porto Alegre - ""Donate your Talent"""
3553,"TV Tokyo - ""World Table Tennis Championships 2015 - 1""",Print World Table Tennis Championships 2015 - 1 for TV Tokyo by Dentsu Inc.,"TV Tokyo - ""World Table Tennis Championships 2015 - 1"""
3554,"TV Tokyo - ""World Table Tennis Championships 2015 - 2""",Print World Table Tennis Championships 2015 - 2 for TV Tokyo by Dentsu Inc.,"TV Tokyo - ""World Table Tennis Championships 2015 - 2"""
3555,"TV Tokyo - ""World Table Tennis Championships 2015 - 3""",Print World Table Tennis Championships 2015 - 3 for TV Tokyo by Dentsu Inc.,"TV Tokyo - ""World Table Tennis Championships 2015 - 3"""
3556,"TV Tokyo - ""World Table Tennis Championships 2015 - 4""",Print World Table Tennis Championships 2015 - 4 for TV Tokyo by Dentsu Inc.,"TV Tokyo - ""World Table Tennis Championships 2015 - 4"""
3557,"Hannah Smit - ""#CoverTheAthlete""",Digital #CoverTheAthlete for Hannah Smit by john st.,"Hannah Smit - ""#CoverTheAthlete"""
3558,"Eurosport - ""The New Eurosport Player """,Web Film The New Eurosport Player  for Eurosport by Work & Co,"Eurosport - ""The New Eurosport Player """
3559,"Jivdaya Charitable Trust - ""Kite""",Digital Kite for Jivdaya Charitable Trust by McCann Mumbai,"Jivdaya Charitable Trust - ""Kite"""
3560,"Wilson - ""Wilson X Connected Basketball""",Web Film Wilson X Connected Basketball for Wilson by phenomenon,"Wilson - ""Wilson X Connected Basketball"""
3561,"Always - ""The Extra Mile""",Web Film The Extra Mile for Always by Miami Ad School,"Always - ""The Extra Mile"""
3562,"FocusMotion - ""FocusMotion""",Digital FocusMotion for FocusMotion by R/GA - FocusMotion's SDK movement quantification for wearables and body sensors. Our software makes it easy for deve...,"FocusMotion - ""FocusMotion"""
3563,"Sunny - ""Unfortunate Breakdown""",Television Unfortunate Breakdown for Sunny by Brothers and Sisters - Brothers & Sisters launches campaign to show how Sunny offers ‘Life Support&...,"Sunny - ""Unfortunate Breakdown"""
3564,"Argentine Basketball League - ""La Liga Challenge""",Digital La Liga Challenge for Argentine Basketball League  by NiñA,"Argentine Basketball League - ""La Liga Challenge"""
3565,"Nissan North America - ""Nissan DieHard Case Film""",Applications Nissan DieHard Case Film for Nissan North America by Critical Mass - Nissan recently penned the widest-reaching sponsorship deal in the histor...,"Nissan North America - ""Nissan DieHard Case Film"""
3566,"Travel Alberta - ""Travel Alberta Case Study: Thrill""",Branded Content Travel Alberta Case Study: Thrill for Travel Alberta by Critical Mass - Alberta is home to one of the most stunning mountain ranges in the...,"Travel Alberta - ""Travel Alberta Case Study: Thrill"""
3567,"Samsung - ""Virtual Motivation""",Digital Virtual Motivation for Samsung by Nord DDB OSL - Virtual Reality has fascinated viewers all over the world but can it help the team that has offici...,"Samsung - ""Virtual Motivation"""
3568,"Medibank - ""Generation Better (PG)""",Television & Cinema Generation Better (PG) for Medibank by TBWA\Melbourne - For Better Health,"Medibank - ""Generation Better (PG)"""
3569,"Nike - ""Run Free""",Television & Cinema Run Free for Nike by Wieden + Kennedy,"Nike - ""Run Free"""
3570,"Wotif.com - ""Snowboarder""",Television Snowboarder for Wotif.com by M&C Saatchi,"Wotif.com - ""Snowboarder"""
3571,"Le Bon Coin - ""Prof de Sport ""","Print Prof de Sport  for Le Bon Coin by Havas Paris - Leader de la mise en relation sur ses marchés historiques de l’auto et de l’immobilier, leboncoin, es...","Le Bon Coin - ""Prof de Sport """
3572,"Southern Cross - ""Advice to a Younger Me""","Television Advice to a Younger Me for Southern Cross by Barnes, Catmur & Friends - If we could give some advice to a younger version of ourselves, what wou...","Southern Cross - ""Advice to a Younger Me"""
3573,"MNET - ""My Life As A Movie""",Television My Life As A Movie for MNET by Ogilvy South Africa,"MNET - ""My Life As A Movie"""
3574,"ClubsNSW - ""Giving""",Television Giving for ClubsNSW by Banjo Advertising,"ClubsNSW - ""Giving"""
3575,"Tourism New Zealand - ""Ski Magic""",Television Ski Magic for Tourism New Zealand by WHYBIN\TBWA TEQUILA,"Tourism New Zealand - ""Ski Magic"""
3576,"TEQ - ""Live Events""",Television & Cinema Live Events for TEQ,"TEQ - ""Live Events"""
3577,"Feature Film - ""Storm Surfers (Trailer)""",Cinema Storm Surfers (Trailer) for Feature Film,"Feature Film - ""Storm Surfers (Trailer)"""
3578,"Marca - ""Who's Your Daddy""","Web Film Who's Your Daddy for Marca by FCB Spain - When you’re rushing to buy that ugly tie, electric drill or generic BBQ set for your father’...","Marca - ""Who's Your Daddy"""
3579,"Mercedes-Benz - ""Make the best of every terrain 1""","Print Make the best of every terrain 1 for Mercedes-Benz by Jung von Matt/Alster - An epic adventure done in artistic brushstrokes, capturing five celebrit...","Mercedes-Benz - ""Make the best of every terrain 1"""
3580,"Mercedes-Benz - ""Make the best of every terrain 2""","Print Make the best of every terrain 2 for Mercedes-Benz by Jung von Matt/Alster - An epic adventure done in artistic brushstrokes, capturing five celebrit...","Mercedes-Benz - ""Make the best of every terrain 2"""
3581,"Mercedes-Benz - ""Make the best of every ground""","Print Make the best of every ground for Mercedes-Benz by Jung von Matt/Alster - An epic adventure done in artistic brushstrokes, capturing five celebrity a...","Mercedes-Benz - ""Make the best of every ground"""
3582,"Mastercard - ""Mastercard Rugby World Cup 2015: 44 Days of Crazy""",Case Study Mastercard Rugby World Cup 2015: 44 Days of Crazy for Mastercard by McCann London,"Mastercard - ""Mastercard Rugby World Cup 2015: 44 Days of Crazy"""
3583,"Mastercard - ""Priceless Surprises with Dan Carter (30s)""",Television Priceless Surprises with Dan Carter (30s) for Mastercard by McCann London,"Mastercard - ""Priceless Surprises with Dan Carter (30s)"""
3584,"Mastercard - ""Social Golf""",Television Social Golf for Mastercard by McCann London,"Mastercard - ""Social Golf"""
3585,"Mastercard - ""Anthem Booth""",Outdoor/Out of Home Anthem Booth for Mastercard by McCann London,"Mastercard - ""Anthem Booth"""
3586,"Mastercard - ""Turning The World Oval - Paloma Faith""",Print Turning The World Oval - Paloma Faith for Mastercard by McCann London,"Mastercard - ""Turning The World Oval - Paloma Faith"""
3587,"Mastercard - ""Turning The World Oval - Harrods""",Print Turning The World Oval - Harrods for Mastercard by McCann London,"Mastercard - ""Turning The World Oval - Harrods"""
3588,"Mastercard - ""Turning The World Oval - Transport of London""",Print Turning The World Oval - Transport of London for Mastercard by McCann London,"Mastercard - ""Turning The World Oval - Transport of London"""
3589,"Audi - ""Greatness Starts When You Don't Stop""",Case Study Greatness Starts When You Don't Stop for Audi by thjnk,"Audi - ""Greatness Starts When You Don't Stop"""
3590,"Audi - ""Greatness Starts When You Don't Stop""",Web Site Greatness Starts When You Don't Stop for Audi by thjnk,"Audi - ""Greatness Starts When You Don't Stop"""
3591,"Audi - ""Greatness Starts When You Don't Stop""",Branded Content Greatness Starts When You Don't Stop for Audi by thjnk,"Audi - ""Greatness Starts When You Don't Stop"""
3592,"Audi - ""Greatness Starts When You Don't Stop""",Television & Cinema Greatness Starts When You Don't Stop for Audi by thjnk,"Audi - ""Greatness Starts When You Don't Stop"""
3593,"Audi - ""Greatness Starts When You Don't Stop""",Print Greatness Starts When You Don't Stop for Audi by thjnk,"Audi - ""Greatness Starts When You Don't Stop"""
3594,"Powerade - ""Powertape""",Case Study Powertape for Powerade by Escola Cuca,"Powerade - ""Powertape"""
3595,"Powerade - ""Run to be number 1""",Case Study Run to be number 1 for Powerade by Miami Ad School,"Powerade - ""Run to be number 1"""
3596,"Svenson - ""ENVY""",Television ENVY for Svenson by VMLY&R Madrid,"Svenson - ""ENVY"""
3597,"ESPN - ""Kobe's Rules Book""",Digital Kobe's Rules Book for ESPN by Africa,"ESPN - ""Kobe's Rules Book"""
3598,"Puma - ""Puma Beatbot""",Web Film Puma Beatbot for Puma by Wunderman Thompson,"Puma - ""Puma Beatbot"""
3599,"Philips Fidelio - ""Philips Fidelio""","Poster Philips Fidelio for Philips Fidelio by BBDO Indonesia - IN INDONESIA, PUBLIC TRANSPORTATION IS FLOODED BY PEOPLE COMING FROM MANY DIFFERENT BACKGROU...","Philips Fidelio - ""Philips Fidelio"""
3600,"Jaguar - ""Actual Reality""",Print Actual Reality for Jaguar by Y&R New Zealand,"Jaguar - ""Actual Reality"""
3601,"Nike - ""Nikewomen: Margot vs Lily""",Web Film Nikewomen: Margot vs Lily for Nike by Wieden + Kennedy,"Nike - ""Nikewomen: Margot vs Lily"""
3602,"Diesel - ""Diesel Jogg Jeans Responsive Lookbook""",E-Commerce Diesel Jogg Jeans Responsive Lookbook for Diesel by Fred & Farid Shanghai - FRED & FARID HAS WORKED ON A CREATIVE IDEA THAT FULLY EXPRESSES...,"Diesel - ""Diesel Jogg Jeans Responsive Lookbook"""
3603,"Jean-Marc Zimmermann - ""Babolat Pop""",Case Study Babolat Pop for Jean-Marc Zimmermann by OgilvyOne Worldwide,"Jean-Marc Zimmermann - ""Babolat Pop"""
3604,"SpeedStick - ""Brandon Ingram & Kris Dunn: First Impressions""","Television Brandon Ingram & Kris Dunn: First Impressions for SpeedStick by ESPN CreativeWorks - With any new job in life, you want to jump off on the right...","SpeedStick - ""Brandon Ingram & Kris Dunn: First Impressions"""
3605,"SpeedStick - ""Kris Dunn: Facing Adversity""","Television Kris Dunn: Facing Adversity for SpeedStick by ESPN CreativeWorks - With any new job in life, you want to jump off on the right foot. Watch as Kr...","SpeedStick - ""Kris Dunn: Facing Adversity"""
3606,"SpeedStick - ""Brandon Ingram: Invest for the Future""","Television Brandon Ingram: Invest for the Future for SpeedStick by ESPN CreativeWorks - With any new job in life, you want to jump off on the right foot. W...","SpeedStick - ""Brandon Ingram: Invest for the Future"""
3607,"Under Armour - ""It comes from below""",Web Film It comes from below for Under Armour by Droga5,"Under Armour - ""It comes from below"""
3608,"Svenska Spel - ""Forward""",Television Forward for Svenska Spel by Nord DDB OSL - Svenska Spel is the governmentally owned Swedish gaming company. With some of their profit they run p...,"Svenska Spel - ""Forward"""
3609,"Heineken - ""Champion's Boss""",Web Film Champion's Boss for Heineken by Leo Burnett Madrid,"Heineken - ""Champion's Boss"""
3610,"Intel - ""Intel Winter X Games 2016""",Case Study Intel Winter X Games 2016 for Intel by OMD USA,"Intel - ""Intel Winter X Games 2016"""
3611,"SKYN - ""an experiment in sports performance apparel""","Branded Content an experiment in sports performance apparel for SKYN by SID LEE AMSTERDAM - SKYN® Condoms, an innovative brand of premium condoms, has...","SKYN - ""an experiment in sports performance apparel"""
3612,"SKYN Condoms - ""SKYNFEEL™ Apparel - an experiment in sports performance apparel by SKYN® Condoms""","Web Film SKYNFEEL™ Apparel - an experiment in sports performance apparel by SKYN® Condoms for SKYN Condoms by SID LEE MONTREAL - SKYN® Condoms, an innovati...","SKYN Condoms - ""SKYNFEEL™ Apparel - an experiment in sports performance apparel by SKYN® Condoms"""
3613,"Mizuno - ""It’s Time To Shine Challenge""",Web Film It’s Time To Shine Challenge for Mizuno by F/Nazca Saatchi & Saatchi Publicidade Ltda.,"Mizuno - ""It’s Time To Shine Challenge"""
3614,"SB - ""Nike SB """,Branded Content Nike SB  for SB by Forsman & Bodenfors New York,"SB - ""Nike SB """
3615,"Dunkin' Donuts - ""Summer Chill Case Study""","Social Media Summer Chill Case Study for Dunkin' Donuts by Publicis Sapient - To help drive iced coffee consumption in the summer, we were asked to launch...","Dunkin' Donuts - ""Summer Chill Case Study"""
3616,"Canal + - ""Le sport ne s'arrête jamais""",Web Film Le sport ne s'arrête jamais for Canal + by BETC Paris,"Canal + - ""Le sport ne s'arrête jamais"""
3617,"Royal Challenge Sports Drink - ""Made of Bold""",Web Film Made of Bold for Royal Challenge Sports Drink by DDB Mudra,"Royal Challenge Sports Drink - ""Made of Bold"""
3618,"Woolworths - ""Grown in Australia, Picked for Rio""","Television & Cinema Grown in Australia, Picked for Rio for Woolworths by M&C Saatchi","Woolworths - ""Grown in Australia, Picked for Rio"""
